2026-02-28 19:32:54,472 | INFO | veganbot | 📜 Prompt file loaded
2026-02-28 19:32:56,439 | INFO | veganbot | 📂 Helper: load_pdf_files loaded
2026-02-28 19:32:56,440 | INFO | veganbot | 🧹 Helper: filter_to_minimal_docs loaded
2026-02-28 19:32:56,440 | INFO | veganbot | ✂ Helper: text_split loaded
2026-02-28 19:32:56,440 | INFO | veganbot | 📥 Helper: download_embeddings loaded
2026-02-28 19:32:56,444 | INFO | veganbot | 🧠 Initializing Groq LLM...
2026-02-28 19:32:57,081 | INFO | veganbot | ✅ Groq LLM Ready
2026-02-28 19:32:57,083 | INFO | veganbot | 🔹 Multi Query Generation Loaded
2026-02-28 19:32:57,083 | INFO | veganbot | 🔹 Retrieval Function Loaded
2026-02-28 19:32:57,083 | INFO | veganbot | 🔹 RRF Fusion Loaded
2026-02-28 19:32:57,083 | INFO | veganbot | 🔹 Fusion Pipeline Ready
2026-02-28 19:32:57,086 | INFO | veganbot | 🧠 Initializing Groq LLM...
2026-02-28 19:32:57,639 | INFO | veganbot | ✅ Groq LLM Ready
2026-02-28 19:32:57,639 | INFO | veganbot | ✅ LLM Loaded
2026-02-28 19:32:57,639 | INFO | veganbot | ✅ QA Prompt Ready
2026-02-28 19:32:57,639 | INFO | veganbot | ✅ Prompt Loaded
2026-02-28 19:32:57,639 | INFO | veganbot | ✅ QA Chain Created
2026-02-28 19:32:57,639 | INFO | veganbot | 🔗 Connecting to existing index...
2026-02-28 19:33:05,781 | INFO | veganbot | ✅ Connected to Pinecone
2026-02-28 19:33:05,786 | INFO | veganbot | ✅ Vector Store Connected
2026-02-28 19:33:05,788 | INFO | veganbot | ✅ Retriever Ready
